Ward no,What is the name of your ward?,Did you vote in the last BBMP elections (2010)?,Mention the elections that you voted in.,Who is your corporator?,What are the problems you face in your area? Issue 1,What are the problems you face in your area? Issue 2,What are the problems you face in your area? Issue 3,What are the problems you face in your area? Issue 4,What are the problems you face in your area? Issue 5,What are the problems you face in your area? Issue 6,What are the problems you face in your area? Issue 7,What are the problems you face in your area? Issue 8,What are the problems you face in your area? Issue 9,The issues to which the councillor gave importance [Hospitals/Primary health care centre],The issues to which the councillor gave importance [Building and Zoning Regulations],The issues to which the councillor gave importance [Restoration of lakes],"The issues to which the councillor gave importance [Roads, footpath]",The issues to which the councillor gave importance [Street lights],"The issues to which the councillor gave importance [Public facilities/basic amenities - playground, parks, public toilets etc.]",The issues to which the councillor gave importance [Cleanliness and garbage clearance],"The issues to which the councillor gave importance [Encroachment of public land, lakes and roads]",The issues to which the councillor gave importance [Public schooling],The issues to which the councillor gave importance [Public health & sanitation],"How did she/he perform at the ward level, on each of the above issues? [Hospitals/Primary health care centre]","How did she/he perform at the ward level, on each of the above issues? [Building and Zoning Regulations]","How did she/he perform at the ward level, on each of the above issues? [Restoration of lakes]","How did she/he perform at the ward level, on each of the above issues? [Roads, footpath]","How did she/he perform at the ward level, on each of the above issues? [Street lights]","How did she/he perform at the ward level, on each of the above issues? [Public facilities/basic amenities - playground, parks, public toilets etc.]","How did she/he perform at the ward level, on each of the above issues? [Cleanliness and garbage clearance]","How did she/he perform at the ward level, on each of the above issues? [Encroachment of public land/lakes]","How did she/he perform at the ward level, on each of the above issues? [Encouraging public schooling]","How did she/he perform at the ward level, on each of the above issues? [Public health and sanitation]",Rate your corporator. [Interaction with public],Rate your corporator. [Accessible to public],Rate your corporator. [How trustworthy is your corporator?],Rate your corporator. [How corrupt is your corporator?],"Do you think your current corporator acted independently, free of pressure from family members or friends?","Would you vote for your current corporator, if she/he contests elections once again? *",What is important to you during an election?,What is important to you during an election? 2,What is important to you during an election? 3,What is important to you during an election? 4,What is important to you during an election? 5,What is important to you during an election? 6,"Who is the leader who can help solve Bangalore's problems, according to you?","Which party's candidate are you likely to vote for, in BBMP elections 2015?",Which political party represents Bangalore's interest best?,Age,Educational Qualification,Occupation,Monthly - family income levels,Gender,What are the languages you speak?,What are the languages you speak? 2,What are the languages you speak? 3,What are the languages you speak? 4,What are the languages you speak? 5,What are the languages you speak? 6,
198,Hemmigepura,No - other reasons,,Veena Nagaraju,Garbage black spots, Non-collection of garbage from your home, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of government schooling, Encroachment of public land,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Can't say,No,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate,,,,Loksatta candidate,Loksatta,31-40,Post graduate,Private Firm Employee,"Above Rs 2,00,000",Male,Kannada, Tamil, Urdu, Malayalam, Hindi, English,
89,Jogupalya,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Gautam Kumar,Garbage black spots, Non-collection of garbage from your home, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds, Lack of government schooling, Encroachment of public land,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Zero,No,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate, Political party of the candidate,,No one presently,AAP candidate,Aam Aadmi Party,25-30,Graduate diploma/degree,IT/ITES,"Between Rs 1,00,000 and Rs 2,00,000",Male,Kannada, Tamil, Hindi, English,,,
78,Pulakeshinagar,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",A.R.zakir,Non-collection of garbage from your home, Lack of public toilets,,,,,,,,5 - High Importance,4,4,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,4,4,5 - High Importance,3 - Average,4 - Good,3 - Average,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,3 - Average,4 - Good,5 - Very Good,Very high,High,High,Medium,Yes,Yes,Past work record of candidate,,,,,,Ram rilangam reddy,Congress candidate,Congress,31-40,Graduate diploma/degree,Business/self employed,"Between Rs 25,000 and Rs 50,000",Male,Kannada, Tamil, Urdu, Hindi, English,,
6,Thanisandra,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Lalitabai,Garbage black spots, Non-collection of garbage from your home, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,3,3,1 - Low Importance,2,2,4,2,2 - Poor,3 - Average,2 - Poor,2 - Poor,3 - Average,3 - Average,2 - Poor,2 - Poor,4 - Good,2 - Poor,Zero,Low,Low,Can't say,No,No,Candidate's individual capabilities,,,,,,Cant say,Party doesn't matter; candidate does,Don't know,25-30,Post graduate,Professional (Medical/Law/CA),"Above Rs 2,00,000",Male,Kannada, Tamil, Urdu, Hindi, English,,
85,Doddanekundi,No - I did not like the candidates,Parliament elections 2014,,Bad roads with potholes, no roads in chinnapanahalli from past 6 years,,,,,,,,4,2,3,1 - Low Importance,3,5 - High Importance,5 - High Importance,3,1 - Low Importance,1 - Low Importance,4 - Good,3 - Average,3 - Average,1- Very Poor,2 - Poor,5 - Very Good,5 - Very Good,4 - Good,1- Very Poor,1- Very Poor,Low,Medium,Low,Medium,No,I'm not interested in voting in this election.,Candidate's individual capabilities, Manifesto or promises, Clean image of candidate,,,,no one until BBMP has budget for roads ,Party doesn't matter; candidate does,BJP,31-40,Graduate diploma/degree,IT/ITES,"Between Rs 50,000 and Rs 1,00,000",Male,Kannada, Tamil, Telugu,,,,
183,Chikkakallasandra,No - other reasons,Parliament elections 2014,,Garbage black spots, Non-collection of garbage from your home, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Lack of parks and playgrounds, Encroachment of public land,,,2,4,5 - High Importance,5 - High Importance,4,5 - High Importance,5 - High Importance,5 - High Importance,2,4,3 - Average,3 - Average,2 - Poor,1- Very Poor,4 - Good,1- Very Poor,3 - Average,2 - Poor,3 - Average,2 - Poor,Zero,Zero,Zero,Very high,No,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate,,,,"R, Ashok",Party doesn't matter; candidate does,BJP,31-40,Post graduate,Private Firm Employee,"Between Rs 1,00,000 and Rs 2,00,000",Male,Kannada, Hindi, English,,,,
7,Byatarayanapura,No - I was not on the voters list,I did not vote in any election,,Garbage black spots, Bad roads with potholes, Lack of public toilets,,,,,,,1 - Low Importance,2,2,1 - Low Importance,3,2,1 - Low Importance,1 - Low Importance,3,3,1- Very Poor,1- Very Poor,2 - Poor,2 - Poor,4 - Good,3 - Average,1- Very Poor,1- Very Poor,3 - Average,2 - Poor,Zero,Low,Low,Medium,Yes,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate,,,,,BJP candidate,BJP,31-40,Graduate diploma/degree,IT/ITES,"Above Rs 2,00,000",Female,Kannada, Hindi, English,,,,
93,Vasanthnagar,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",,Garbage black spots, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Lack of parks and playgrounds,,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Very high,No,"Shifted homes, voting from another ward",Candidate's individual capabilities, Manifesto or promises, Clean image of candidate,,,,,Party doesn't matter; candidate does,,31-40,Post graduate,Private Firm Employee,"Between Rs 25,000 and Rs 50,000",Female,Kannada, Tamil, Malayalam, Hindi, English,,
89,Jogupalya,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",M. Gautam Kumar,Garbage black spots, Non-collection of garbage from your home, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Lack of parks and playgrounds, Lack of government schooling,,,1 - Low Importance,1 - Low Importance,Not applicable,2,2,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,3 - Average,3 - Average,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Low,Zero,Can't say,Yes,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate,,,Sidharamaiah,Party doesn't matter; candidate does,Congress,31-40,Graduate diploma/degree,Private Firm Employee,"Between Rs 25,000 and Rs 50,000",Male,Kannada, Tamil, Telugu, Hindi, English,,
108,Sri Ramamandira Ward,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",SMT. JAYARATNA,Garbage black spots, Lack of public toilets,,,,,,,,Not applicable,Not applicable,Not applicable,2,2,3,3,Not applicable,Not applicable,2,Not applicable,Not applicable,Not applicable,3 - Average,3 - Average,3 - Average,3 - Average,Not applicable,Not applicable,3 - Average,Medium,Low,Medium,Medium,No,Yes,Past work record of candidate, Clean image of candidate, Political party of the candidate,,,,,BJP candidate,BJP,51- 60,Post graduate,Private Firm Employee,"Between Rs 50,000 and Rs 1,00,000",Male,Kannada, Hindi, English,,,,
85,Doddanekundi,No - other reasons,"Assembly elections 2013, Parliament elections 2014",Shridhar Reddy,Garbage black spots, Non-collection of garbage from your home, Bad roads with potholes, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,3,3,1 - Low Importance,2,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,2 - Poor,3 - Average,3 - Average,1- Very Poor,3 - Average,2 - Poor,1- Very Poor,1- Very Poor,Zero,Zero,Low,High,No,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate, Candidate's personality/ charm,,,"Rajeev Chandrashekhar , current Rajya sabha MP",Loksatta candidate,"BJP, Loksatta",25-30,Graduate diploma/degree,IT/ITES,"Between Rs 25,000 and Rs 50,000",Male,Kannada, Hindi, English,,,,
84,Hagaduru,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",H A Srinivas,Garbage black spots, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Lack of parks and playgrounds, Encroachment of public land, Many environmental challenges like polluted water bodies, polluted air etc,,2,1 - Low Importance,1 - Low Importance,3,3,1 - Low Importance,4,1 - Low Importance,3,1 - Low Importance,2 - Poor,1- Very Poor,1- Very Poor,4 - Good,4 - Good,2 - Poor,4 - Good,1- Very Poor,3 - Average,3 - Average,Low,Low,Low,Very high,No,No,Candidate's individual capabilities, Clean image of candidate,,,,,One person cannot do much. The whole municipality need better educated workforce.,Party doesn't matter; candidate does,Top three political parties play money politics. Others havent really proved anything yet.,31-40,Post graduate,IT/ITES,"Between Rs 1,00,000 and Rs 2,00,000",Male,Kannada, Tamil, Telugu, Malayalam, Hindi, English,
29,Kacharakanahalli,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Padmanabha Reddy,Garbage black spots,,,,,,,,,Not applicable,5 - High Importance,4,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,4,5 - High Importance,5 - High Importance,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,Very high,Very high,Very high,Zero,Yes,Yes,Candidate's individual capabilities,,,,,,,Party doesn't matter; candidate does,BJP,25-30,Post graduate,Private Firm Employee,"Above Rs 2,00,000",Male,Kannada, Telugu, Hindi, English,,,
17,J.P Garden,No - I was not on the voters list,Parliament elections 2014,Mr. Nanjundappa,Garbage black spots, Non-collection of garbage from your home, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets,,,,Not applicable,Not applicable,5 - High Importance,1 - Low Importance,1 - Low Importance,Not applicable,2,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5 - Very Good,1- Very Poor,1- Very Poor,Not applicable,1- Very Poor,Not applicable,Not applicable,Not applicable,High,Low,High,Can't say,,No,Manifesto or promises, Clean image of candidate,,,,,,AAP candidate,Aam Aadmi Party,31-40,Post graduate,IT/ITES,"Above Rs 2,00,000",Male,Tamil, Telugu,,,,,
29,Kacharakanahalli,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",,Garbage black spots, Non-collection of garbage from your home, Unwalkable footpaths, Lack of public toilets, Lack of parks and playgrounds,,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,2 - Poor,2 - Poor,2 - Poor,2 - Poor,2 - Poor,2 - Poor,2 - Poor,2 - Poor,2 - Poor,2 - Poor,Zero,Zero,Zero,Can't say,No,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate, Political party of the candidate,,,S.M. Krishna,Congress candidate,Congress,31-40,Post graduate,Private Firm Employee,"Between Rs 1,00,000 and Rs 2,00,000",Female,Kannada, Tamil, Hindi, English,,,
51,Vignanapura,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",P SUKUMAR,Garbage black spots, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of government schooling, Encroachment of public land, Rejuvenation of Benegehalli Lake,,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,3 - Average,3 - Average,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Medium,Low,Zero,High,No,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises,,,,MYSELF,AAP candidate,"Loksatta, Aam Aadmi Party",41-50,Graduate diploma/degree,IT/ITES,"Between Rs 1,00,000 and Rs 2,00,000",Male,Tamil, Hindi, English,,,,
177,J.P Nagar,No - other reasons,Parliament elections 2014,Chandrashekar Raju,Garbage black spots, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Encroachment of public land,,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,4,1 - Low Importance,1 - Low Importance,1 - Low Importance,4,3,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Very high,No,No,Candidate's individual capabilities, Manifesto or promises, Clean image of candidate,,,,Rajeev Chandrashekar,Party doesn't matter; candidate does,"BJP, Aam Aadmi Party",21-25,Graduate diploma/degree,Private Firm Employee,"Between Rs 25,000 and Rs 50,000",Male,Kannada, Hindi, English,,,,
52,K.R.Puram,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Mr.Veeranna,Garbage black spots, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Lack of parks and playgrounds, Encroachment of public land,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,3,2,1 - Low Importance,2,1 - Low Importance,1 - Low Importance,2,1- Very Poor,1- Very Poor,1- Very Poor,3 - Average,2 - Poor,1- Very Poor,2 - Poor,1- Very Poor,1- Very Poor,2 - Poor,Medium,Medium,Low,Low,Yes,Depends on the candidate,Candidate's individual capabilities, Clean image of candidate,,,,,As of now there r no good leaders,Party doesn't matter; candidate does,BJP,31-40,Graduate diploma/degree,Business/self employed,"Between Rs 10,000 and Rs 25,000",Male,Kannada, English,,,,,
151,Koramangala,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",kokila,Garbage black spots, Non-collection of garbage from your home, Bad roads with potholes, Unwalkable footpaths,,,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,3 - Average,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Very high,No,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate,,,,,Loksatta candidate,Loksatta,60+,Post graduate,Retired,"Between Rs 50,000 and Rs 1,00,000",Male,Telugu,,,,,,
79,Sarvajna Nagar,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Bhuvaneshwari,Garbage black spots, No street lights, Bad roads with potholes, Lack of public toilets, Lack of parks and playgrounds,,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Can't say,No,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate,,,,Party doesn't matter; candidate does,"No Political prty, individual matters",51- 60,Post graduate,Private Firm Employee,"Between Rs 25,000 and Rs 50,000",Male,Kannada, Tamil, Hindi, English,,,
